# model GBW
# Enu_GeV sigma_GeV_minus2 sigma_cm2
1000 6.68296e-08 2.6022e-35
1088.4 7.82717e-08 3.04774e-35
1184.62 8.9312e-08 3.47762e-35
1289.34 1.05909e-07 4.12386e-35
1403.32 1.19879e-07 4.66784e-35
1527.38 1.38739e-07 5.4022e-35
1662.4 1.61214e-07 6.27734e-35
1809.36 1.94171e-07 7.56062e-35
1969.31 2.16552e-07 8.43207e-35
2143.4 2.56593e-07 9.9912e-35
2332.88 2.9121e-07 1.13391e-34
2539.11 3.45625e-07 1.34579e-34
2763.58 4.01856e-07 1.56474e-34
3007.88 4.558e-07 1.77479e-34
3273.79 5.1593e-07 2.00892e-34
3563.19 6.12192e-07 2.38375e-34
3878.19 6.89985e-07 2.68666e-34
4221.03 7.79706e-07 3.03601e-34
4594.17 8.93469e-07 3.47898e-34
5000.31 1.05081e-06 4.09163e-34
5442.34 1.19159e-06 4.63982e-34
5923.46 1.35955e-06 5.29379e-34
6447.1 1.5232e-06 5.93103e-34
7017.04 1.76487e-06 6.87202e-34
7637.36 1.97111e-06 7.6751e-34
8312.51 2.27645e-06 8.86402e-34
9047.36 2.54627e-06 9.91466e-34
9847.16 2.87066e-06 1.11778e-33
10717.7 3.2256e-06 1.25598e-33
11665.1 3.68904e-06 1.43643e-33
12696.4 4.12841e-06 1.60752e-33
13818.7 4.57988e-06 1.78331e-33
15040.3 5.13009e-06 1.99755e-33
16369.9 5.89726e-06 2.29627e-33
17817.1 6.46534e-06 2.51747e-33
19392.1 7.12646e-06 2.77489e-33
21106.4 7.92253e-06 3.08487e-33
22972.3 9.03088e-06 3.51644e-33
25003.1 9.83854e-06 3.83092e-33
27213.4 1.11084e-05 4.32539e-33
29619.1 1.19154e-05 4.6396e-33
32237.5 1.30313e-05 5.07411e-33
35087.3 1.43301e-05 5.57985e-33
38189.1 1.61454e-05 6.28668e-33
41565.1 1.80829e-05 7.0411e-33
45239.6 1.88608e-05 7.34401e-33
49238.8 2.15952e-05 8.40874e-33
53591.6 2.33351e-05 9.08621e-33
58329.2 2.46903e-05 9.6139e-33
63485.7 2.68321e-05 1.04479e-32
69097.9 2.8845e-05 1.12316e-32
75206.3 3.13822e-05 1.22196e-32
81854.7 3.4834e-05 1.35636e-32
89090.8 3.76763e-05 1.46704e-32
96966.6 3.9794e-05 1.54949e-32
105539 4.289e-05 1.67005e-32
114868 4.65168e-05 1.81127e-32
125023 4.95241e-05 1.92836e-32
136075 5.23939e-05 2.04011e-32
148105 5.79257e-05 2.25551e-32
161197 6.19291e-05 2.41139e-32
175447 6.38994e-05 2.48811e-32
190957 6.81207e-05 2.65248e-32
207838 7.25269e-05 2.82404e-32
226212 7.9313e-05 3.08828e-32
246209 8.28266e-05 3.22509e-32
267975 8.68836e-05 3.38306e-32
291664 9.46788e-05 3.68659e-32
317448 9.87797e-05 3.84628e-32
345511 0.000103094 4.01428e-32
376055 0.000112057 4.36327e-32
409298 0.000114694 4.46595e-32
445481 0.000124887 4.86284e-32
484863 0.000127761 4.97475e-32
527725 0.000133806 5.21011e-32
574377 0.000144269 5.61751e-32
625153 0.000152118 5.92317e-32
680418 0.000157241 6.12263e-32
740568 0.000166 6.46368e-32
806036 0.000169734 6.60909e-32
877291 0.000183464 7.14372e-32
954846 0.000185607 7.22714e-32
1.03926e+06 0.00019382 7.54693e-32
1.13113e+06 0.000202285 7.87654e-32
1.23112e+06 0.000214141 8.33822e-32
1.33996e+06 0.000224447 8.7395e-32
1.45841e+06 0.000228953 8.91493e-32
1.58734e+06 0.000244972 9.53868e-32
1.72766e+06 0.000254477 9.90881e-32
1.88039e+06 0.000258217 1.00544e-31
2.04662e+06 0.000267743 1.04254e-31
2.22754e+06 0.000277661 1.08115e-31
2.42446e+06 0.000291983 1.13692e-31
2.63879e+06 0.000299252 1.16522e-31
2.87206e+06 0.000309973 1.20697e-31
3.12596e+06 0.000329316 1.28229e-31
3.4023e+06 0.000337536 1.31429e-31
3.70307e+06 0.000344336 1.34077e-31
4.03043e+06 0.00035547 1.38412e-31
4.38673e+06 0.000367367 1.43045e-31
4.77452e+06 0.000386201 1.50379e-31
5.1966e+06 0.000399938 1.55728e-31
5.65599e+06 0.000404331 1.57438e-31
6.15599e+06 0.000423203 1.64786e-31
6.70019e+06 0.000440809 1.71642e-31
7.2925e+06 0.000446055 1.73684e-31
7.93717e+06 0.000457954 1.78318e-31
8.63883e+06 0.000470526 1.83213e-31
9.40252e+06 0.000492253 1.91673e-31
1.02337e+07 0.000496336 1.93263e-31
1.11384e+07 0.000511951 1.99343e-31
1.21231e+07 0.000538108 2.09528e-31
1.31948e+07 0.000551304 2.14666e-31
1.43612e+07 0.000567731 2.21062e-31
1.56308e+07 0.000571795 2.22645e-31
1.70125e+07 0.000589611 2.29582e-31
1.85165e+07 0.000606375 2.3611e-31
2.01534e+07 0.000621917 2.42162e-31
2.1935e+07 0.000628307 2.44649e-31
2.38741e+07 0.000647879 2.5227e-31
2.59846e+07 0.000672117 2.61708e-31
2.82817e+07 0.000682075 2.65586e-31
3.07818e+07 0.000695778 2.70921e-31
3.3503e+07 0.00071224 2.77331e-31
3.64647e+07 0.000739757 2.88046e-31
3.96883e+07 0.000741889 2.88876e-31
4.31968e+07 0.000759221 2.95625e-31
4.70155e+07 0.000776051 3.02178e-31
5.11717e+07 0.000810866 3.15734e-31
5.56954e+07 0.000831979 3.23955e-31
6.0619e+07 0.000847219 3.29889e-31
6.59778e+07 0.000866061 3.37226e-31
7.18104e+07 0.000867366 3.37734e-31
7.81586e+07 0.000887531 3.45586e-31
8.50679e+07 0.000903282 3.51719e-31
9.25881e+07 0.000922416 3.59169e-31
1.00773e+08 0.000965865 3.76088e-31
1.09682e+08 0.000985717 3.83818e-31
1.19378e+08 0.00100296 3.90531e-31
1.29931e+08 0.00101128 3.93773e-31
1.41417e+08 0.00102373 3.98618e-31
1.53919e+08 0.00104541 4.07061e-31
1.67525e+08 0.00106599 4.15075e-31
1.82335e+08 0.00108625 4.22964e-31
1.98454e+08 0.00113448 4.41744e-31
2.15997e+08 0.00115485 4.49673e-31
2.35092e+08 0.00115243 4.48733e-31
2.55874e+08 0.0011816 4.6009e-31
2.78494e+08 0.00122367 4.76471e-31
3.03114e+08 0.00122174 4.75721e-31
3.29909e+08 0.00124212 4.83655e-31
3.59074e+08 0.00129596 5.0462e-31
3.90817e+08 0.00131878 5.13507e-31
4.25366e+08 0.00131318 5.11326e-31
4.62969e+08 0.00136923 5.33149e-31
5.03896e+08 0.00138322 5.38598e-31
5.48442e+08 0.001387 5.40069e-31
5.96925e+08 0.0014106 5.49256e-31
6.49694e+08 0.00143572 5.59039e-31
7.07128e+08 0.00146095 5.68862e-31
7.6964e+08 0.0014894 5.7994e-31
8.37678e+08 0.00154854 6.02969e-31
9.1173e+08 0.00154546 6.01768e-31
9.92329e+08 0.00160131 6.23516e-31
1.08005e+09 0.00159154 6.19712e-31
1.17553e+09 0.00161672 6.29515e-31
1.27945e+09 0.00164311 6.39793e-31
1.39256e+09 0.0017092 6.65525e-31
1.51566e+09 0.00173651 6.76162e-31
1.64965e+09 0.00176544 6.87425e-31
1.79548e+09 0.00179149 6.9757e-31
1.9542e+09 0.00181922 7.08366e-31
2.12696e+09 0.00180506 7.02853e-31
2.31499e+09 0.00183419 7.14196e-31
2.51964e+09 0.00186182 7.24955e-31
2.74238e+09 0.00188729 7.3487e-31
2.98481e+09 0.0019171 7.46478e-31
3.24867e+09 0.00198936 7.74617e-31
3.53586e+09 0.00201785 7.85708e-31
3.84844e+09 0.00199843 7.78145e-31
4.18865e+09 0.00202901 7.90052e-31
4.55893e+09 0.00205437 7.99927e-31
4.96195e+09 0.00208246 8.10864e-31
5.40059e+09 0.00211048 8.21775e-31
5.87802e+09 0.00218625 8.51281e-31
6.39764e+09 0.00221832 8.63769e-31
6.96321e+09 0.00224373 8.73662e-31
7.57877e+09 0.0022763 8.86345e-31
8.24875e+09 0.00225635 8.78574e-31
8.97795e+09 0.00228542 8.89894e-31
9.77162e+09 0.00231986 9.03303e-31
1.06354e+10 0.00234321 9.12397e-31
1.15756e+10 0.00237257 9.23827e-31
1.2599e+10 0.00242605 9.44653e-31
1.37127e+10 0.00248212 9.66486e-31
1.4925e+10 0.00245528 9.56035e-31
1.62444e+10 0.00249283 9.70657e-31
1.76804e+10 0.00252038 9.81382e-31
1.92434e+10 0.0025443 9.90697e-31
2.09445e+10 0.00258054 1.00481e-30
2.2796e+10 0.00266351 1.03711e-30
2.48113e+10 0.00269389 1.04894e-30
2.70046e+10 0.00272473 1.06095e-30
2.93919e+10 0.00274827 1.07012e-30
3.19902e+10 0.00278705 1.08522e-30
3.48182e+10 0.0027651 1.07667e-30
3.78962e+10 0.00279705 1.08911e-30
4.12463e+10 0.00281996 1.09803e-30
4.48925e+10 0.00290536 1.13129e-30
4.88611e+10 0.00292979 1.1408e-30
5.31805e+10 0.002969 1.15607e-30
5.78818e+10 0.00295778 1.1517e-30
6.29986e+10 0.00297998 1.16034e-30
6.85678e+10 0.00301274 1.1731e-30
7.46294e+10 0.00307511 1.19738e-30
8.12267e+10 0.00309775 1.2062e-30
8.84073e+10 0.0031494 1.22631e-30
9.62227e+10 0.00319602 1.24446e-30
1.04729e+11 0.00321675 1.25253e-30
1.13987e+11 0.00322925 1.2574e-30
1.24064e+11 0.00324994 1.26546e-30
1.35031e+11 0.00330473 1.28679e-30
1.46968e+11 0.00332105 1.29315e-30
1.59961e+11 0.00335588 1.30671e-30
1.74102e+11 0.00345908 1.34689e-30
1.89492e+11 0.00348198 1.35581e-30
2.06244e+11 0.00351514 1.36872e-30
2.24476e+11 0.00350079 1.36313e-30
2.4432e+11 0.00357836 1.39334e-30
2.65919e+11 0.00361646 1.40817e-30
2.89427e+11 0.00361249 1.40663e-30
3.15012e+11 0.00370238 1.44163e-30
3.4286e+11 0.00371399 1.44615e-30
3.7317e+11 0.00375731 1.46302e-30
4.06159e+11 0.00384114 1.49566e-30
4.42064e+11 0.00383377 1.49279e-30
4.81143e+11 0.0038692 1.50659e-30
5.23677e+11 0.00393109 1.53069e-30
5.69971e+11 0.00394574 1.53639e-30
6.20358e+11 0.00398719 1.55253e-30
6.75198e+11 0.00400423 1.55916e-30
7.34887e+11 0.00412144 1.6048e-30
7.99853e+11 0.00413355 1.60952e-30
8.70561e+11 0.0041798 1.62753e-30
9.47521e+11 0.00416718 1.62261e-30
1.03128e+12 0.00426162 1.65939e-30
1.12245e+12 0.00430389 1.67584e-30
1.22168e+12 0.00428889 1.67e-30
1.32968e+12 0.00435489 1.6957e-30
1.44722e+12 0.00442857 1.72439e-30
1.57516e+12 0.00443814 1.72812e-30
1.71441e+12 0.00454052 1.76798e-30
1.86596e+12 0.00452081 1.76031e-30
2.03092e+12 0.00458219 1.78421e-30
2.21045e+12 0.00466862 1.81786e-30
2.40586e+12 0.00466646 1.81702e-30
2.61855e+12 0.00473485 1.84365e-30
2.85003e+12 0.00475339 1.85087e-30
3.10198e+12 0.00482509 1.87879e-30
3.3762e+12 0.00486035 1.89252e-30
3.67466e+12 0.0049034 1.90928e-30
3.99951e+12 0.00488754 1.9031e-30
4.35307e+12 0.00496921 1.93491e-30
4.73789e+12 0.00504005 1.96249e-30
5.15673e+12 0.00509688 1.98462e-30
5.6126e+12 0.00506829 1.97348e-30
6.10876e+12 0.00515973 2.00909e-30
6.64879e+12 0.0051527 2.00635e-30
7.23655e+12 0.00526942 2.0518e-30
7.87628e+12 0.0052416 2.04097e-30
8.57256e+12 0.00528377 2.05739e-30
9.33039e+12 0.00530971 2.06749e-30
1.01552e+13 0.00536283 2.08818e-30
1.1053e+13 0.00542758 2.11339e-30
1.20301e+13 0.00546835 2.12926e-30
1.30935e+13 0.00555733 2.16391e-30
1.4251e+13 0.00559228 2.17752e-30
1.55108e+13 0.00563525 2.19425e-30
1.6882e+13 0.00561056 2.18464e-30
1.83744e+13 0.0056815 2.21226e-30
1.99988e+13 0.00569949 2.21926e-30
2.17667e+13 0.00581539 2.26439e-30
2.36909e+13 0.0057739 2.24824e-30
2.57852e+13 0.00587681 2.28831e-30
2.80647e+13 0.00586945 2.28544e-30
3.05457e+13 0.00597775 2.32761e-30
3.3246e+13 0.00594161 2.31354e-30
3.6185e+13 0.00598129 2.32899e-30
3.93838e+13 0.00607266 2.36457e-30
4.28654e+13 0.00612817 2.38618e-30
4.66548e+13 0.0061149 2.38101e-30
5.07792e+13 0.00614698 2.39351e-30
5.52681e+13 0.00618509 2.40835e-30
6.0154e+13 0.00629019 2.44927e-30
6.54717e+13 0.00632476 2.46273e-30
7.12595e+13 0.00638188 2.48497e-30
7.7559e+13 0.00638501 2.48619e-30
8.44153e+13 0.0063669 2.47914e-30
9.18778e+13 0.00647531 2.52135e-30
1e+14 0.00644298 2.50876e-30
