# Secao de choque reduzida CC e+p, sqrt(s)=318 GeV
# H1 and ZEUS Collaborations, Eur. Phys. J. C 75 (2015) 580, arXiv:1506.06042
# fonte: https://www.desy.de/h1zeus/herapdf20/  (dados combinados HERA I+II)
# sigma_red = secao de choque reduzida; err = incerteza total (excl. procedurais)
# Q2[GeV^2]  x  y  sigma_red  err
3.000000e+02 8.000000e-03 3.705500e-01 1.186750e+00 1.467499e-01
5.000000e+02 8.000000e-03 6.175900e-01 7.332950e-01 1.887831e-01
3.000000e+02 1.300000e-02 2.280300e-01 1.225180e+00 8.099016e-02
5.000000e+02 1.300000e-02 3.800500e-01 9.382220e-01 5.571022e-02
1.000000e+03 1.300000e-02 7.601100e-01 6.520460e-01 4.514923e-02
3.000000e+02 3.200000e-02 9.263800e-02 8.593830e-01 4.991657e-02
5.000000e+02 3.200000e-02 1.544000e-01 8.625710e-01 3.856555e-02
1.000000e+03 3.200000e-02 3.087900e-01 7.302800e-01 2.708703e-02
1.500000e+03 3.200000e-02 4.631900e-01 5.658010e-01 3.206615e-02
2.000000e+03 3.200000e-02 6.175900e-01 5.168010e-01 2.816783e-02
3.000000e+03 3.200000e-02 9.263800e-01 3.841660e-01 4.975027e-02
3.000000e+02 8.000000e-02 3.705500e-02 4.860580e-01 3.621011e-02
5.000000e+02 8.000000e-02 6.175900e-02 5.817620e-01 2.862583e-02
1.000000e+03 8.000000e-02 1.235200e-01 5.145390e-01 2.100750e-02
1.500000e+03 8.000000e-02 1.852800e-01 4.752700e-01 2.504293e-02
2.000000e+03 8.000000e-02 2.470400e-01 4.265300e-01 2.160067e-02
3.000000e+03 8.000000e-02 3.705500e-01 3.773200e-01 1.439344e-02
5.000000e+03 8.000000e-02 6.175900e-01 2.250310e-01 1.389240e-02
3.000000e+02 1.300000e-01 2.280300e-02 5.689860e-01 1.565895e-01
5.000000e+02 1.300000e-01 3.800500e-02 4.278770e-01 3.762378e-02
1.000000e+03 1.300000e-01 7.601100e-02 4.305110e-01 2.487299e-02
1.500000e+03 1.300000e-01 1.140200e-01 3.455860e-01 2.569342e-02
2.000000e+03 1.300000e-01 1.520200e-01 3.442560e-01 2.394239e-02
3.000000e+03 1.300000e-01 2.280300e-01 3.120350e-01 1.436640e-02
5.000000e+03 1.300000e-01 3.800500e-01 2.194470e-01 1.182837e-02
8.000000e+03 1.300000e-01 6.080900e-01 1.164920e-01 1.034563e-02
1.000000e+03 2.500000e-01 3.952600e-02 2.324980e-01 2.789651e-02
1.500000e+03 2.500000e-01 5.928900e-02 2.270970e-01 2.114695e-02
2.000000e+03 2.500000e-01 7.905100e-02 2.161520e-01 2.395353e-02
3.000000e+03 2.500000e-01 1.185800e-01 1.664110e-01 1.093911e-02
5.000000e+03 2.500000e-01 1.976300e-01 1.434250e-01 9.273602e-03
8.000000e+03 2.500000e-01 3.162100e-01 1.103400e-01 8.678274e-03
1.500000e+04 2.500000e-01 5.928900e-01 4.489060e-02 6.572971e-03
1.500000e+03 4.000000e-01 3.705500e-02 7.204150e-02 3.029929e-02
3.000000e+03 4.000000e-01 7.411100e-02 6.300630e-02 1.025138e-02
5.000000e+03 4.000000e-01 1.235200e-01 8.404420e-02 9.408412e-03
8.000000e+03 4.000000e-01 1.976300e-01 4.866790e-02 7.110672e-03
1.500000e+04 4.000000e-01 3.705500e-01 3.114280e-02 5.052982e-03
3.000000e+04 4.000000e-01 7.411100e-01 8.209630e-03 5.891895e-03
