# PDFs do proton: xf(x,Q^2), HERAPDF2.0 LO (parametrizacao de gluon alternativa)
# H1 and ZEUS Collaborations, Eur. Phys. J. C 75 (2015) 580, arXiv:1506.06042
# fonte: https://www.desy.de/h1zeus/herapdf20/grids_151021_lhapdf/HERAPDF20_LO_EIG.tgz
# extraido do membro central (0000) por interpolacao bilinear em (ln x, ln Q)
# Q2[GeV^2]  x  xu_v  xd_v  xubar  xdbar  xs  xc  xb  xg
10.0 1.000000e-05 4.021316e-03 7.182860e-04 1.712163e+00 1.712049e+00 1.396797e+00 7.350856e-01 0.000000e+00 6.095283e+01
10.0 1.053470e-05 4.142366e-03 7.456436e-04 1.692507e+00 1.692389e+00 1.380342e+00 7.253533e-01 0.000000e+00 6.007153e+01
10.0 1.109799e-05 4.271326e-03 7.756606e-04 1.673317e+00 1.673193e+00 1.364282e+00 7.158665e-01 0.000000e+00 5.921432e+01
10.0 1.169140e-05 4.400287e-03 8.056776e-04 1.654126e+00 1.653998e+00 1.348221e+00 7.063797e-01 0.000000e+00 5.835712e+01
10.0 1.231653e-05 4.533753e-03 8.369037e-04 1.635166e+00 1.635032e+00 1.332354e+00 6.970138e-01 0.000000e+00 5.751175e+01
10.0 1.297510e-05 4.674095e-03 8.699741e-04 1.616555e+00 1.616415e+00 1.316783e+00 6.878322e-01 0.000000e+00 5.668445e+01
10.0 1.366887e-05 4.814436e-03 9.030445e-04 1.597944e+00 1.597798e+00 1.301212e+00 6.786506e-01 0.000000e+00 5.585715e+01
10.0 1.439974e-05 4.962074e-03 9.382953e-04 1.579654e+00 1.579503e+00 1.285914e+00 6.696385e-01 0.000000e+00 5.504643e+01
10.0 1.516970e-05 5.115165e-03 9.751752e-04 1.561605e+00 1.561447e+00 1.270819e+00 6.607531e-01 0.000000e+00 5.424809e+01
10.0 1.598082e-05 5.268255e-03 1.012055e-03 1.543556e+00 1.543392e+00 1.255724e+00 6.518677e-01 0.000000e+00 5.344975e+01
10.0 1.683531e-05 5.431322e-03 1.051916e-03 1.525916e+00 1.525745e+00 1.240975e+00 6.431974e-01 0.000000e+00 5.267242e+01
10.0 1.773549e-05 5.597736e-03 1.092778e-03 1.508413e+00 1.508236e+00 1.226342e+00 6.345993e-01 0.000000e+00 5.190214e+01
10.0 1.868381e-05 5.764150e-03 1.133640e-03 1.490910e+00 1.490726e+00 1.211709e+00 6.260012e-01 0.000000e+00 5.113186e+01
10.0 1.968283e-05 5.944245e-03 1.179336e-03 1.473898e+00 1.473705e+00 1.197491e+00 6.176609e-01 0.000000e+00 5.038671e+01
10.0 2.073526e-05 6.125448e-03 1.225424e-03 1.456925e+00 1.456724e+00 1.183306e+00 6.093415e-01 0.000000e+00 4.964359e+01
10.0 2.184398e-05 6.308219e-03 1.271980e-03 1.440004e+00 1.439795e+00 1.169165e+00 6.010495e-01 0.000000e+00 4.890314e+01
10.0 2.301197e-05 6.504871e-03 1.322672e-03 1.423546e+00 1.423328e+00 1.155415e+00 5.930004e-01 0.000000e+00 4.818632e+01
10.0 2.424242e-05 6.701523e-03 1.373364e-03 1.407088e+00 1.406860e+00 1.141665e+00 5.849514e-01 0.000000e+00 4.746951e+01
10.0 2.553865e-05 6.903133e-03 1.425532e-03 1.390769e+00 1.390532e+00 1.128032e+00 5.769752e-01 0.000000e+00 4.675977e+01
10.0 2.690420e-05 7.117626e-03 1.481536e-03 1.374810e+00 1.374563e+00 1.114704e+00 5.691884e-01 0.000000e+00 4.606842e+01
